Protein1_ID,Protein2_ID,human_pname_raw,IAV_Strain,IAV_Segment,Score
Q9BUJ2,P03428,HNRL1_HUMAN,PR8,PB2,0.323
Q6PKG0,P03496,LARP1_HUMAN,PR8,NS1,0.323
P82932,P03431,RT06_HUMAN,PR8,PB1,0.321
O75494,P03496,SRS10_HUMAN,PR8,NS1,0.32
P52298,P03466,NCBP2_HUMAN,PR8,NP,0.32
Q15020,P03496,SART3_HUMAN,PR8,NS1,0.32
Q8WV44,P03466,TRI41_HUMAN,PR8,NP,0.319
P33992,P03433,MCM5_HUMAN,PR8,PA,0.319
Q92526,P03428,TCPW_HUMAN,PR8,PB2,0.319
Q96A33,P03428,CCD47_HUMAN,PR8,PB2,0.318
Q8N448,P03431,LNX2_HUMAN,PR8,PB1,0.316
Q68CZ6,P03508,HAUS3_HUMAN,PR8,NS2,0.316
P31327,P03496,CPSM_HUMAN,PR8,NS1,0.315
P78559,P03433,MAP1A_HUMAN,PR8,PA,0.315
Q13263,P03496,TIF1B_HUMAN,PR8,NS1,0.314
P08729,P03431,K2C7_HUMAN,PR8,PB1,0.314
Q9Y4W2,P03431,LAS1L_HUMAN,PR8,PB1,0.314
Q7Z6Z7,P03428,HUWE1_HUMAN,PR8,PB2,0.313
Q00577,P03466,PURA_HUMAN,PR8,NP,0.313
O14503,P03431,BHE40_HUMAN,PR8,PB1,0.313
P82914,P03431,RT15_HUMAN,PR8,PB1,0.313
Q15365,P03428,PCBP1_HUMAN,PR8,PB2,0.311
Q00325,P03496,MPCP_HUMAN,PR8,NS1,0.311
Q15020,P03508,SART3_HUMAN,PR8,NS2,0.311
Q92900,I6TAH8,RENT1_HUMAN,Aichi,NP,0.31
P55084,P03431,ECHB_HUMAN,PR8,PB1,0.309
Q9H078,P03431,CLPB_HUMAN,PR8,PB1,0.309
P82675,P03496,RT05_HUMAN,PR8,NS1,0.309
P08579,P03431,RU2B_HUMAN,PR8,PB1,0.309
Q9UKM9,P03466,RALY_HUMAN,PR8,NP,0.309
P12235,P03452,ADT1_HUMAN,PR8,HA,0.308
Q8NCA5,P03496,FA98A_HUMAN,PR8,NS1,0.308
O95816,P06821,BAG2_HUMAN,PR8,M2,0.308
P05023,P06821,AT1A1_HUMAN,PR8,M2,0.307
P61247,P03431,RS3A_HUMAN,PR8,PB1,0.305
Q3KQU3,P03428,MA7D1_HUMAN,PR8,PB2,0.305
